workload,trace_id,scale_selected,node_id,call_index,trace_llm_calls,prompt_qwen36_tokens,input_nemotron_tokens,output_recorded_tokens,output_reasoning_tokens,output_nonreasoning_tokens,output_unknown_tokens,capture_llm_phase_seconds
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-022,22,55,87396,89511,77,24,53,0,1.2919998168945312
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-023,23,55,87827,89936,494,430,64,0,6.065999984741211
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-024,24,55,91041,93188,112,64,48,0,2.0429999828338623
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-025,25,55,91438,93578,435,371,64,0,5.4090001583099365
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-026,26,55,91633,93763,527,479,48,0,6.460000038146973
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-027,27,55,94270,96469,316,272,44,0,4.211999893188477
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-028,28,55,96818,99057,1042,975,67,0,12.818000078201294
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-029,29,55,97017,99248,86,24,62,0,1.448000192642212
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-030,30,55,100115,102405,517,437,80,0,6.485000133514404
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-031,31,55,100338,102622,653,574,79,0,8.116999864578247
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-032,32,55,100559,102837,110,31,79,0,1.7000000476837158
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-033,33,55,100780,103052,102,38,64,0,1.7950000762939453
openclaw,f0f46385-fc03-4599-b5d3-f56496c3e69f,True,llm-034,34,55,100975,103237,473,406,67,0,6.121000051498413
