cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
4,17,18,60,59.16544795036316,231.92590397544305,42159.505022131576,97.8786763556242,97.8786763556242,1.0,894.3395483862844,0.0,0.0,2.2,0.0,3.369155873978138,0
4,18,19,60,59.16538047790527,235.99949644901454,48213.735413486764,98.06351013677424,98.06351013677424,1.0,933.6540989646611,0.0,0.0,2.35,0.0,5.235602094240837,0
4,19,20,60,59.166961431503296,242.77062151702665,38339.53857214946,97.44704096249285,97.45648319501471,0.9869597264015616,975.1726065364386,0.0,0.0,2.1666666666666665,0.0,3.3374667034077334,1
4,20,21,60,59.162477254867554,231.81923131644402,46562.92514819184,98.13349750869217,98.13349750869217,1.0,869.0981579168006,0.0,0.0,2.216666666666667,0.0,3.8412785891430135,1
4,21,22,59,58.22404336929321,181.24814748893837,48707.43830023404,97.91279376461594,97.91279376461594,1.0,1016.6246892983265,0.0,0.0,1.6610169491525424,0.0,3.1899341930120353,0
4,22,23,60,59.15734910964966,211.03041613410682,56374.4834782667,98.12435800800422,98.12828620390319,0.9869707778042648,1055.168984741035,0.0,0.0,2.0166666666666666,0.0,4.306971617525489,1
4,23,24,60,59.162094831466675,230.80656692259797,54602.64734036828,98.10299308830946,98.1662063015589,1.001810607765523,1001.2999061096873,0.0,0.0,2.4,0.0,5.459722604941673,1
4,24,25,60,59.15348482131958,190.99466471209612,58462.185456123974,98.30644755729062,98.32510275452094,1.0062468155785511,979.1815338514809,0.0,0.0,1.9,0.0,4.881969321208781,2
4,25,26,60,59.1638925075531,213.72833098136144,55005.03536991826,97.93185164790592,97.93185164790592,1.0,1137.585732571732,0.0,0.0,2.316666666666667,0.0,4.509966014512721,0
4,26,27,60,59.16279673576355,217.16349984911147,61179.6973724198,98.55247679139079,98.55247679139079,1.0,885.5903184226609,0.0,0.0,2.15,0.0,5.138697529163223,1
4,27,28,59,58.154834032058716,188.66875269477205,22811.517255275667,95.08457711442786,95.08457711442786,1.0,1121.2825397120578,0.0,0.0,1.7118644067796611,0.0,1.7929952221044223,2
4,28,29,60,59.16464400291443,265.6485180444217,21757.453656555248,95.97971524277698,95.97971524277698,1.0,874.7115929143547,0.0,0.0,2.3333333333333335,0.0,2.1695600257187477,1
4,29,30,60,59.20971202850342,232.3943070923224,23983.497830835393,95.89142963376092,95.89142963376092,1.0,985.378884665295,0.0,0.0,2.1,0.0,2.769817213190043,1
8,0,1,60,59.16280651092529,420.0274034567829,55028.82963131226,96.59222125557427,96.64252409649656,1.0097553184300572,1847.5796948512686,0.0,0.0,5.933333333333334,0.0,7.874988518416461,0
8,1,2,60,59.157373905181885,417.4796541777638,54134.53621408102,97.01151334740794,97.01151334740794,1.0,1617.8033892004244,0.0,0.0,5.866666666666666,0.0,9.845228253880773,2
8,2,3,60,59.154926776885986,413.591924342636,65620.53596382363,97.44483069356362,97.44483069356362,1.0,1676.7157936666677,0.0,0.0,6.2,0.0,11.479746486635435,0
8,3,4,60,59.161545276641846,381.5147135602538,51165.61756197288,96.66799579919241,96.66799579919241,1.0,1704.8405265340816,0.0,0.0,5.016666666666667,0.0,8.664921465968584,3
8,4,5,59,58.16526198387146,462.01115723421935,61481.868696673504,97.79043705326592,97.7715164722328,0.9978437458142355,1370.1133164688217,0.0,0.0,6.593220338983051,0.0,11.333840858246424,0
