workload,physical_nodes,minute,per_replica_tokens_s,prompt_reuse_pct
minisweagent,2,64.5,742.6666666666666,96.43834803895218
minisweagent,2,65.5,735.15,92.80903617609876
minisweagent,2,66.5,808.2166666666667,96.60390137378855
minisweagent,2,67.5,746.1666666666666,95.61324867654926
minisweagent,2,68.5,718.8333333333334,95.44618136674069
minisweagent,2,69.5,724.4166666666666,96.4460118907849
minisweagent,2,70.5,741.4166666666666,94.79643628254904
minisweagent,2,71.5,718.6,92.41065879974767
minisweagent,2,72.5,679.9166666666666,88.94837151881705
minisweagent,2,73.5,670.0166666666667,94.00263779805266
minisweagent,2,74.5,750.4,95.84550025524508
minisweagent,2,75.5,673.5,94.83621004865883
minisweagent,2,76.5,685.35,95.95283329433182
minisweagent,2,77.5,759.3666666666667,96.93259186231938
minisweagent,2,78.5,730.9166666666666,93.22895903315838
minisweagent,2,79.5,766.3,95.98351407782589
minisweagent,2,80.5,763.0666666666667,97.15255631609894
minisweagent,2,81.5,771.15,95.32352744513089
minisweagent,2,82.5,775.85,97.14277613993545
minisweagent,2,83.5,755.2,95.39360809694624
minisweagent,2,84.5,752.8666666666667,95.05286124743375
minisweagent,2,85.5,766.9333333333333,94.92085097560016
minisweagent,2,86.5,728.6666666666666,96.22845481661265
minisweagent,2,87.5,752.05,95.68872334489477
minisweagent,2,88.5,707.9166666666666,94.41663095988174
minisweagent,2,89.5,748.2666666666667,96.37332410531779
minisweagent,4,0.5,776.1083333333333,96.92457211735999
minisweagent,4,1.5,716.9,95.31827278340195
minisweagent,4,2.5,725.1083333333333,96.09274309260657
minisweagent,4,3.5,720.7166666666667,96.0875611227952
minisweagent,4,4.5,705.9,95.34632779937458
minisweagent,4,5.5,631.5833333333334,93.64765166420695
minisweagent,4,6.5,663.1833333333333,93.82937761605803
minisweagent,4,7.5,627.325,91.4509045295373
minisweagent,4,8.5,630.8083333333333,93.20399720124149
minisweagent,4,9.5,680.1,95.84449960937343
minisweagent,4,10.5,690.025,92.82375215969707
minisweagent,4,11.5,652.3916666666667,92.24019607843137
minisweagent,4,12.5,655.175,94.94703374759355
minisweagent,4,13.5,703.3916666666667,95.850536885219
minisweagent,4,14.5,652.975,93.70841112039837
minisweagent,4,15.5,708.475,95.19164719369483
minisweagent,4,16.5,754.5666666666667,95.5470197789772
minisweagent,4,17.5,729.1416666666667,96.072411553457
minisweagent,4,18.5,734.2833333333333,95.73049867701697
minisweagent,4,19.5,744.9916666666667,94.70904344462338
minisweagent,4,20.5,754.4666666666667,96.53536199046545
minisweagent,4,21.5,732.775,96.59307449027989
minisweagent,4,22.5,739.6916666666667,95.04905551789719
minisweagent,4,23.5,713.25,94.9483369699574
minisweagent,4,24.5,731.2416666666667,95.37035653330736
minisweagent,4,25.5,719.8083333333333,96.85109752627004
minisweagent,4,26.5,668.3416666666667,95.5435857490702
minisweagent,4,27.5,710.2583333333333,96.54544890470731
minisweagent,4,28.5,699.4083333333333,94.70420414160283
minisweagent,4,29.5,692.2333333333333,95.56386829926223
minisweagent,4,30.5,708.575,95.33762106023549
minisweagent,4,31.5,703.475,95.76663074119107
minisweagent,4,32.5,696.475,95.42643943456433
minisweagent,4,33.5,642.4166666666666,95.42846675591854
minisweagent,4,34.5,693.525,94.72897002922086
minisweagent,4,35.5,681.5083333333333,95.05191086767086
minisweagent,4,36.5,736.55,95.16576041477337
minisweagent,4,37.5,764.7833333333333,93.18858617927812
minisweagent,4,38.5,736.7416666666667,95.54665062265157
minisweagent,4,39.5,744.8833333333333,95.19358275208353
minisweagent,4,40.5,716.4583333333334,95.98702282687424
minisweagent,4,41.5,694.8,95.82886866693467
minisweagent,4,42.5,700.6083333333333,96.63605764075413
minisweagent,4,43.5,659.4833333333333,94.63125100875945
minisweagent,4,44.5,705.2,94.61388164432097
minisweagent,4,45.5,659.0916666666667,94.80160272479436
minisweagent,4,46.5,582.9166666666666,92.66487186032809
minisweagent,4,47.5,663.475,95.16949178620618
minisweagent,4,48.5,691.2,96.3216997919883
minisweagent,4,49.5,692.0333333333333,96.59554416008986
minisweagent,4,50.5,713.3166666666667,95.15067621594201
minisweagent,4,51.5,771.6583333333333,96.46532197074785
minisweagent,4,52.5,764.2166666666667,96.58960510868853
minisweagent,4,53.5,753.725,96.04863703563075
minisweagent,4,54.5,737.7666666666667,96.13852983116755
minisweagent,4,55.5,714.475,95.32845490806665
minisweagent,4,56.5,709.0833333333334,95.24608640795107
minisweagent,4,57.5,723.675,96.41283698955057
minisweagent,4,58.5,761.1,96.06595844462832
minisweagent,4,59.5,761.7666666666667,96.71460463697707
minisweagent,4,60.5,773.325,96.43492857886453
minisweagent,4,61.5,801.0666666666667,96.81572178644342
minisweagent,4,62.5,691.9166666666666,95.3655194510938
minisweagent,4,63.5,681.15,95.82306481440202
