budget,cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,prompt_reuse_percent,prefix_query_amplification,prefill_compute_tokens_per_s,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
8192,32,11,12,59,58.1768217086792,485.7432766180855,46548.9162257895,84.67078697273428,85.61262124880173,1.2040912562018384,6697.168881982323,0.0,0.0,29.152542372881356,0.288135593220339,58.58463570327979,8
8192,32,12,13,60,59.15203642845154,460.2208418120667,49499.174953031245,85.23194210809218,84.64656655431378,1.2066109125857205,7599.822882577435,0.0,0.0,28.933333333333334,0.18333333333333332,58.904573687182385,6
8192,32,13,14,60,59.15591883659363,365.32270016287055,54177.740165831725,83.72264527908003,80.47841234796098,1.3048209417105001,10576.355034366787,0.0,0.0,29.633333333333333,0.45,67.64257481648784,4
8192,32,14,15,60,59.15684938430786,335.49792131534105,50060.13725919539,77.76604700184387,76.29202404268251,1.4962146282163842,11868.245305610177,0.0,0.0,29.0,0.6166666666666667,70.70910973084887,6
8192,32,15,16,60,59.15046548843384,317.1572674042319,40856.82132920081,63.19963648576565,67.07328174783797,1.5708507468862498,13452.810445855195,0.0,0.0,29.516666666666666,0.4166666666666667,70.98390739695087,5
8192,32,16,17,60,59.15625858306885,373.51922736919187,55209.49225370315,80.28425254829784,76.516654842778,1.3435231064912383,12965.035625486853,0.0,0.0,28.833333333333332,1.0,62.62422360248446,3
8192,32,17,18,59,58.15268301963806,346.12332492385275,55514.65267578109,66.43807498914387,78.91396345970017,1.4359240671481133,11705.839948435741,0.0,0.0,29.47457627118644,0.4406779661016949,61.10212558259721,5
8192,32,18,19,60,59.1567497253418,340.01191906903375,55775.08932318097,66.64651727511699,75.26001879694121,1.9283306758382324,13798.746614544223,0.0,0.0,29.533333333333335,0.7166666666666667,64.10737812911725,3
8192,32,19,20,60,59.1497220993042,511.1435679992088,82741.26785893338,89.49894650646306,89.65201732772144,1.061981687015222,8562.052060866023,0.0,0.0,29.05,0.11666666666666667,59.84566158479202,7
8192,32,20,21,60,59.154059648513794,498.84995510602107,79975.17039591483,90.67303605899129,90.056260431516,1.121086331945001,7952.522663621095,0.0,0.0,29.416666666666668,0.11666666666666667,59.84142668925278,6
8192,32,21,22,60,59.152252197265625,441.8090441061528,92566.7712826852,91.30066922476111,90.2960862440241,1.1740378516575465,8982.59965196324,0.0,0.0,29.366666666666667,0.26666666666666666,63.33568605307735,6
8192,32,22,23,60,59.148462533950806,394.29596308802337,89040.62378590144,86.45372192650976,88.62465005992463,1.3149018269036512,10128.682544472276,0.0,0.0,28.9,0.3333333333333333,63.224167137210586,6
8192,32,23,24,60,59.15097951889038,435.90148818694803,85176.00284862558,89.46615854618751,87.98875163648287,1.291909443051984,10230.701248264842,0.0,0.0,28.833333333333332,0.35,68.92951251646903,6
8192,32,24,25,59,58.15336561203003,334.11651751383016,62462.28333942854,88.89567040126548,81.0229732914289,1.5336177923528078,11853.48419210671,0.0,0.0,29.1864406779661,0.6271186440677966,68.6187062753017,6
8192,32,25,26,60,59.15515685081482,185.02190819310186,35790.38773135866,61.39226349483816,51.57336200031551,3.834716458544502,17332.08150534855,0.0,0.0,29.266666666666666,1.5833333333333333,71.01919819311124,2
8192,32,26,27,60,59.16117835044861,125.01441327265107,22847.668651781518,9.863910961955288,8.163971901945335,4.201665316510011,20982.391402800502,0.0,0.0,29.55,1.5166666666666666,73.66741953698477,2
8192,32,27,28,60,59.160998821258545,292.9125664756881,33825.49381977167,65.95131694075555,63.033355820403266,1.9355155785423381,12504.149942346476,0.0,0.0,29.166666666666668,0.5166666666666667,67.23367212497648,6
8192,32,28,29,60,59.14960026741028,457.33191564617084,63076.80834921307,85.39778837978348,82.64664826929634,0.9996019799687373,10945.9404133408,0.0,0.0,28.216666666666665,0.21666666666666667,60.5383022774327,8
8192,32,29,30,60,59.149717569351196,433.62844412447697,77812.93282767716,91.86771839892023,92.10663594788439,1.1280974524688476,6142.058067716738,0.0,0.0,28.766666666666666,0.23333333333333334,59.795313382269896,7
