trace_id,cc,n_replays,mean_lifecycle_s,ratio_to_cc1
bec74516-02fc-48dc-b202-55e78d0e17cf,8,2,86.70081849955022,1.9739134558205456
bec74516-02fc-48dc-b202-55e78d0e17cf,16,2,124.65701305598486,2.8380603515857517
bec74516-02fc-48dc-b202-55e78d0e17cf,32,1,472.2629390479997,10.751988115049233
bec74516-02fc-48dc-b202-55e78d0e17cf,64,1,1954.5547767609823,44.4992566478117
c8b7e059-c60d-472e-ad64-3b04ae1166dc,1,1,65.29966445697937,1.0
c8b7e059-c60d-472e-ad64-3b04ae1166dc,2,1,69.84241676097736,1.069567774073186
c8b7e059-c60d-472e-ad64-3b04ae1166dc,4,2,81.82707367592957,1.2531009823157477
c8b7e059-c60d-472e-ad64-3b04ae1166dc,8,2,106.70832545455778,1.6341328296542657
c8b7e059-c60d-472e-ad64-3b04ae1166dc,16,1,153.19487667095382,2.3460285431004233
c8b7e059-c60d-472e-ad64-3b04ae1166dc,32,1,641.667225153069,9.826501108222558
c8b7e059-c60d-472e-ad64-3b04ae1166dc,64,1,3745.297970223939,57.3555469445239
cabe07ed-9eca-40ea-8ead-410ef5e83f91,1,1,28.815269638085738,1.0
cabe07ed-9eca-40ea-8ead-410ef5e83f91,2,1,29.401787627022713,1.0203544161239346
cabe07ed-9eca-40ea-8ead-410ef5e83f91,4,1,33.56693406694103,1.1649009184552248
cabe07ed-9eca-40ea-8ead-410ef5e83f91,8,2,43.464399283519015,1.508380793566173
cabe07ed-9eca-40ea-8ead-410ef5e83f91,16,1,58.03217164496891,2.013938178397838
cabe07ed-9eca-40ea-8ead-410ef5e83f91,32,1,115.48153721704148,4.007650758346788
cabe07ed-9eca-40ea-8ead-410ef5e83f91,64,1,1016.0280762659386,35.26005791467706
e8cb5b03-41e0-4086-99e5-f6806cd97211,1,1,26.841801583999768,1.0
e8cb5b03-41e0-4086-99e5-f6806cd97211,2,1,33.65667823702097,1.2538904339820285
e8cb5b03-41e0-4086-99e5-f6806cd97211,4,1,37.472123924060725,1.3960360971596493
e8cb5b03-41e0-4086-99e5-f6806cd97211,8,1,44.4411938469857,1.6556710512857982
e8cb5b03-41e0-4086-99e5-f6806cd97211,16,1,59.92593652603682,2.232560148338117
e8cb5b03-41e0-4086-99e5-f6806cd97211,32,1,112.62890165299177,4.196026160931357
e8cb5b03-41e0-4086-99e5-f6806cd97211,64,1,655.3226024829783,24.41425551977897
ebbc1f13-d24d-40df-9068-adcf735b4240,1,1,81.06474580406211,1.0
ebbc1f13-d24d-40df-9068-adcf735b4240,2,1,91.56520301604178,1.1295317355013959
ebbc1f13-d24d-40df-9068-adcf735b4240,4,1,109.03167588706128,1.3449949766153189
ebbc1f13-d24d-40df-9068-adcf735b4240,8,2,157.2042178690317,1.9392427165441661
ebbc1f13-d24d-40df-9068-adcf735b4240,16,2,249.0473551704781,3.0722029989761404
ebbc1f13-d24d-40df-9068-adcf735b4240,32,1,870.7412161659449,10.741305699897877
ebbc1f13-d24d-40df-9068-adcf735b4240,64,1,2820.4707255560206,34.792815268591
f3917a3d-1d17-4ee2-90c5-683b072218fe,1,1,63.579362750053406,1.0
f3917a3d-1d17-4ee2-90c5-683b072218fe,2,1,66.55875116388779,1.0468609354508178
f3917a3d-1d17-4ee2-90c5-683b072218fe,4,1,79.71714358101599,1.253821053451012
f3917a3d-1d17-4ee2-90c5-683b072218fe,8,1,112.60114849405363,1.7710329834024492
f3917a3d-1d17-4ee2-90c5-683b072218fe,16,2,200.76757130847545,3.157747461196547
f3917a3d-1d17-4ee2-90c5-683b072218fe,32,1,693.7780390329426,10.912000514386405
f3917a3d-1d17-4ee2-90c5-683b072218fe,64,1,2497.385811944958,39.279818229113346
