cc,minute_start,minute_end,samples,sampled_span_s,output_tokens_per_s,prompt_tokens_per_s,prefix_hit_percent,preemptions,recomputed_tokens,backend_running_mean,backend_waiting_mean,kv_mean_percent,completed_tasks
2,12,13,60,59.163639307022095,151.29224815853428,19520.300196660257,91.8555246847617,0.0,0.0,1.25,0.016666666666666666,2.788187746854046,2
2,13,14,60,59.16257357597351,152.0724920535534,23773.01924152911,93.42797344060754,0.0,0.0,1.2833333333333334,0.0,2.398273169835585,1
2,14,15,60,59.15641188621521,114.37475303630835,14152.903688790071,89.17352953471845,0.0,0.0,0.8666666666666667,0.0,1.5495545145586476,4
2,15,16,59,58.15781283378601,150.59025732329735,10919.066055921008,86.88737049804024,0.0,0.0,1.1694915254237288,0.0,1.999430202091438,2
2,16,17,60,59.17158555984497,97.1581198240087,22334.976957197876,92.72788355896961,0.0,0.0,0.7166666666666667,0.0,1.4347386791586294,2
2,17,18,60,59.1560423374176,134.35652024632995,43725.660098189,96.95987492640057,0.0,0.0,1.15,0.0,3.2189767612749143,2
2,18,19,60,59.163647174835205,127.34170998174244,16105.143031230884,90.95253076824835,0.0,0.0,1.0333333333333334,0.0,2.862129144851657,2
2,19,20,60,59.15677213668823,148.50370773613696,48931.77730035036,95.2522691893931,0.0,0.0,1.3166666666666667,0.0,3.6424175622301815,1
2,20,21,60,59.160688400268555,107.3516920058552,67705.04381050808,97.86328896483698,0.0,0.0,0.8833333333333333,0.0,3.828878478919811,3
2,21,22,59,58.1528434753418,167.1629351043159,50478.99336590001,96.50910470537083,0.0,0.0,1.4745762711864407,0.0,3.323509768297752,1
2,22,23,60,59.16016459465027,185.20908579403815,15603.218928222404,92.71998691350454,0.0,0.0,1.5333333333333334,0.0,4.9458069256911905,1
2,23,24,60,59.1587450504303,89.13306047153287,9073.637372503656,82.23180603034734,0.0,0.0,0.75,0.0,1.079728116101772,4
2,24,25,60,59.16236901283264,145.193644935631,54048.292070698146,95.00157150522416,0.0,0.0,1.45,0.0,5.630568568016902,0
2,25,26,60,59.16009974479675,127.58599178433369,5796.4067247902185,89.15069579722147,0.0,0.0,0.8166666666666667,0.0,1.1600992008817848,4
2,26,27,60,59.21072173118591,94.91524230213835,14461.586938383867,86.44573216444914,0.0,0.0,0.75,0.0,0.8119775879489298,3
2,27,28,59,58.15446424484253,156.90970793887516,14787.703939276977,88.53507850846132,0.0,0.0,1.271186440677966,0.0,1.8354965415135138,2
