run,workload,group,start_unix,duration_seconds,output_tokens,completed_tasks,prompt_tokens,cached_prompt_tokens,output_tokens_per_second,tasks_per_second,actual_prefix_reuse,frontend_cpu_percent,minute,tasks_per_minute,waiting_per_replica_mean,running_per_replica_mean,kv_cache_per_replica_mean
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013654.3432715,60.0,98549.0,25.0,14774927.0,13282896.0,1642.4833333333333,0.4166666666666667,0.899016015442919,13.943859453054781,42.0,25.0,0.14644351464435146,13.213389121338912,0.24507582648386725
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013714.3432715,60.0,100552.0,20.0,16739187.0,15297744.0,1675.8666666666666,0.3333333333333333,0.9138881117703028,13.321681615933379,43.0,20.0,0.07531380753138076,13.351464435146443,0.26086484008987193
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013774.3432715,60.0,85969.0,25.0,18725926.0,16846368.0,1432.8166666666666,0.4166666666666667,0.8996280344160283,13.88257379819123,44.0,25.0,0.32083333333333336,12.866666666666667,0.2507116977225673
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013834.3432715,60.0,86098.0,23.0,18460392.0,16717536.0,1434.9666666666667,0.38333333333333336,0.9055894371040442,14.486040763394449,45.0,23.0,0.25833333333333336,12.983333333333333,0.25742283079239603
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013894.3432715,60.0,89295.0,23.0,17594589.0,15660480.0,1488.25,0.38333333333333336,0.890073647074109,12.356011939969848,46.0,23.0,0.16317991631799164,13.334728033472803,0.2885824381185487
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790013954.3432715,60.0,98711.0,22.0,18323107.0,16657872.0,1645.1833333333334,0.36666666666666664,0.9091183061911935,13.305090695830575,47.0,22.0,0.1722689075630252,13.046218487394958,0.29218881228380683
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014014.3432715,60.0,82024.0,19.0,18362198.0,16373280.0,1367.0666666666666,0.31666666666666665,0.8916841001278822,10.04576926811337,48.0,19.0,0.020833333333333332,13.366666666666667,0.29180312441182005
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014074.3432715,60.0,99557.0,27.0,18574299.0,17328432.0,1659.2833333333333,0.45,0.9329252210271839,13.485595153796261,49.0,27.0,0.0375,12.983333333333333,0.286917701863354
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014134.3432715,60.0,101352.0,33.0,15997488.0,14734896.0,1689.2,0.55,0.9210756088705927,18.963893835599073,50.0,33.0,0.03765690376569038,12.309623430962343,0.2551592486102219
openclaw-routing-n4-cache_aware-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,routing_cache,1790014194.3432715,60.0,97981.0,28.0,16219735.0,14682624.0,1633.0166666666667,0.4666666666666667,0.9052320521882756,17.195325777707172,51.0,28.0,0.21338912133891214,12.476987447698745,0.24099449758900368
