run,workload,replica,minute_from_warmup_start,measurement_minute,requests,prefix_reuse,prompt_tokens_mean,uncached_tokens_mean,queue_seconds_mean,prefill_seconds_mean,decode_seconds_mean,residence_seconds_mean
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,32,22.0,25,0.7793708269669506,84087.52,18552.16,0.012539538396522403,0.917509848177433,4.955217663040385,5.885267057418823
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,33,23.0,25,0.6989423161844202,39403.08,11862.6,5.03934919834137e-06,0.666632122406736,9.534957600068301,10.201594762802124
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,34,24.0,32,0.8162427994958393,46736.09375,8588.09375,0.009746679817908444,0.5918736851963331,5.268338244706683,5.869958586990833
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,35,25.0,42,0.7521955517429717,45074.90476190476,11169.761904761905,0.12081916699008573,0.694369722584573,7.193014955530608,8.008203841391063
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,36,26.0,37,0.8112932235321745,50640.27027027027,9556.162162162162,0.04274596398494936,0.4776688003283296,1.808230499548183,2.3286453002207987
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,37,27.0,48,0.8776424210799977,45196.083333333336,5530.083333333333,5.225253213817875e-06,0.29843521504759946,3.7728348507419773,4.071275303761165
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,38,28.0,40,0.8296166572164764,41798.1,7121.7,6.1010068748146296e-06,0.34688305180170576,2.377503718959633,2.724392884969711
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,39,29.0,33,0.789559891721879,68655.9696969697,14447.969696969696,0.45604567634731985,0.9007236534644935,3.1266677036429895,4.483437032410593
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,40,30.0,34,0.9133413586576902,65307.970588235294,5659.5,7.88663130472688e-06,0.32248683097114894,2.434910224250737,2.7574049374636482
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,41,31.0,29,0.893195174777582,61661.620689655174,6585.758620689655,6.523497145751427e-06,0.33962948440477764,3.029000583329591,3.368636567017128
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,42,32.0,28,0.8084461364316831,41868.67857142857,8020.107142857143,6.035228060292346e-06,0.38047081602105337,2.012741967470252,2.3932187812668935
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,43,33.0,28,0.6772681434856326,38673.857142857145,12481.285714285714,3.6499945313802788e-06,0.4967134121356399,4.110423134481867,4.607140217508588
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,44,34.0,29,0.8169762011203564,54533.137931034486,9980.862068965518,0.009027831649793119,0.5086722997386522,1.969155145094505,2.4868552438144027
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,45,35.0,26,0.573190710224535,52683.230769230766,22485.69230769231,0.7626946943167311,1.1710465774925138,3.3101466588783435,5.243887919646043
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,46,36.0,28,0.8089631855385194,44429.357142857145,8487.642857142857,5.0618047160761696e-06,0.3772691645592983,3.429802775582565,3.80707699911935
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,47,37.0,24,0.8674944257891202,77552.08333333333,10276.083333333334,0.057276575544771426,0.6432810487555495,8.101191178051522,8.801748792330423
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,48,38.0,27,0.7648456522292719,37815.03703703704,8892.37037037037,0.02262211987679755,0.5841535319643164,3.4190394863037876,4.025815142525567
openclaw-routing-n4-round_robin-7642785.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,openclaw,r02,49,39.0,31,0.7156122695059369,37319.903225806454,10613.322580645161,0.05674382157233213,0.594791189594675,1.7344880201553385,2.3860230215134157
